{:generation 0, :program (:in1 :string_drop :string_rest :integer_add true :string_remove_char :boolean_not "abcdefghijklmnopqrstuvwxyz" :string_parse_to_chars :string_indexof_char), :runtime (0.002979896000000001 0.002997264 0.0031052200000000005 0.003109004 0.003064412), :total-error 2, :amalgamated-error 2.015255796}
{:generation 34, :program (:boolean_and :boolean_eq :string_from_char :exec_if (:string_remove_char :string_length :boolean_or :integer_quot :integer_add :boolean_not :string_parse_to_chars :string_drop :string_contains :boolean_not :boolean_not :string_contains :boolean_not :string_eq :boolean_or :boolean_eq :string_drop :string_iterate (0 :string_reverse :integer_eq :integer_quot :integer_eq :string_contains :string_occurencesof_char true :integer_quot :string_reverse :string_remove_char false :string_drop :integer_eq :boolean_eq :string_occurencesof_char :string_reverse "abcdefghijklmnopqrstuvwxyz" :integer_quot :string_from_char :string_contains_char :string_rest :string_remove_char :boolean_and :boolean_or :string_reverse :integer_subtract :string_reverse :integer_quot :string_reverse :in2 :string_parse_to_chars :string_length :string_eq)) ()), :runtime (0.0031033320000000003 0.003031531999999998 0.0031567280000000006 0.0029659879999999997 0.002081504), :total-error 1, :amalgamated-error 1.014339084}
{:generation 35, :program (:boolean_eq :string_contains :string_contains :string_replace_char :boolean_and :boolean_eq :string_parse_to_chars :string_rest "" :string_replace_char 2 :string_length :boolean_not :string_contains :string_contains 1 :string_eq 2 :integer_quot :integer_quot :string_butlast :string_drop :boolean_and :exec_dup (:string_length :string_from_char :string_take :string_eq :string_from_char :string_rest :string_nth :integer_mult :string_butlast :string_iterate (:string_contains_char :integer_quot :string_occurencesof_char :string_take :string_reverse :string_replace_char 2 0 :string_replace_char :exec_dup (0 :string_remove_char :in2) :string_replace_char 2 :string_contains_char :string_parse_to_chars :string_length :string_remove_char :string_parse_to_chars false :boolean_not :boolean_eq :string_eq))), :runtime (0.0029951160000000012 0.003131792 0.003047804000000001 0.0029817040000000026 0.003059807999999999), :total-error 1, :amalgamated-error 1.015216224}
{:generation 36, :program (:boolean_eq :string_replace_char :string_parse_to_chars 2 :string_replace_char :boolean_and :string_parse_to_chars :string_contains :string_reverse :boolean_not :integer_add :string_eq :string_parse_to_chars :boolean_not :string_indexof_char :string_contains :string_contains_char :string_drop true :integer_quot :string_remove_char :string_indexof_char :string_occurencesof_char :exec_dup (:string_length :string_occurencesof_char 1 :string_from_char :string_contains :string_reverse :string_occurencesof_char :integer_mult :string_nth :string_length :string_iterate (:string_contains_char :integer_quot :string_occurencesof_char :string_take :integer_eq :string_replace_char :integer_eq :string_occurencesof_char :string_replace_char :exec_dup (2 :string_remove_char :string_reverse :exec_dup (2 :boolean_eq "" :in2 :string_parse_to_chars :string_length :string_contains_char :integer_quot :boolean_not :boolean_eq :string_eq))))), :runtime (0.0029990359999999983 0.0030684200000000014 0.003040932000000002 0.0031326880000000024 0.010270640000000003), :total-error 0, :amalgamated-error 0.022511716000000008}
{:generation 37, :program (:boolean_eq :string_replace_char :string_parse_to_chars :string_indexof_char 2 :string_replace_char :boolean_and :string_parse_to_chars :string_contains :boolean_and :integer_add :string_eq :string_parse_to_chars :boolean_not :string_indexof_char :string_contains :string_contains_char :string_drop true :integer_quot :string_remove_char :string_occurencesof_char :exec_dup (:string_length :string_occurencesof_char 1 :string_from_char :string_contains :string_reverse :string_occurencesof_char :integer_mult :string_nth :string_length :string_iterate (:string_contains_char :integer_quot :string_occurencesof_char :string_take :integer_eq :string_replace_char :integer_eq :string_occurencesof_char :string_replace_char :exec_dup (2 :string_remove_char :string_reverse :exec_dup (2 :boolean_eq "" :in2 :string_parse_to_chars :string_length :string_contains_char :integer_quot :boolean_not :boolean_eq :string_eq))))), :runtime (0.0030805119999999992 0.003008244 0.0029514039999999986 0.013365347999999997 0.002989811999999998), :total-error 0, :amalgamated-error 0.025395319999999996}
{:generation 38, :program (0 :integer_quot :in2 :string_length :string_length :string_parse_to_chars :string_iterate (:string_take :string_take :string_nth :string_from_char) :exec_dup (:string_contains_char :string_contains :string_contains :string_drop :string_remove_char false :string_take :string_occurencesof_char :string_iterate (true :integer_subtract :boolean_not :string_iterate (:string_concat :string_take :string_from_char :integer_add :integer_quot "abcdefghijklmnopqrstuvwxyz" :integer_eq :string_contains :integer_add :string_indexof_char :string_drop :string_contains :string_reverse) :string_nth :in2 :string_replace_char :string_reverse :string_reverse :string_length :in2 :string_from_char :string_parse_to_chars :string_length :string_from_char :string_eq))), :runtime (0.003034147999999998 0.003078667999999997 0.003044192 0.0030400160000000026 0.0029551520000000026), :total-error 0, :amalgamated-error 0.015152176}
{:generation 39, :program (:boolean_eq :string_replace_char :string_concat :string_parse_to_chars :string_indexof_char :string_replace_char :string_parse_to_chars :string_reverse :string_contains :integer_eq :boolean_and :integer_add :string_eq :string_parse_to_chars :boolean_not :string_indexof_char :string_contains :string_parse_to_chars true :string_contains_char :string_drop true :integer_quot :string_remove_char :string_butlast :exec_dup (:string_length :string_occurencesof_char 1 :string_contains :string_reverse :integer_eq :string_occurencesof_char :integer_mult :string_nth :string_length :string_iterate (:string_contains_char :string_occurencesof_char "abcdefghijklmnopqrstuvwxyz" :string_take :integer_eq :string_replace_char :string_replace_char :integer_eq :string_occurencesof_char :string_replace_char :exec_dup (2 :string_remove_char :string_reverse "abcdefghijklmnopqrstuvwxyz" :string_butlast :exec_dup (:string_from_char :boolean_eq :in2 :string_parse_to_chars :string_length :string_contains_char :integer_quot :integer_mult :boolean_not :boolean_eq :boolean_or :string_eq))))), :runtime (0.0031150320000000007 0.002886024000000002 0.0017730559999999994 0.0018305880000000004 0.001765803999999999), :total-error 0, :amalgamated-error 0.011370504000000002}
{:generation 40, :program (:string_contains :string_contains :string_take :string_iterate () :boolean_and :boolean_not :string_drop :string_from_char 2 :string_length :string_contains 1 :string_replace_char :integer_quot :boolean_not :string_from_char "" :string_drop :exec_dup (1 :integer_eq :string_rest :string_nth :integer_quot false :integer_mult :string_occurencesof_char :integer_quot :string_replace_char :integer_quot :string_contains_char :integer_add 2 :string_butlast :boolean_not :integer_quot :integer_mult :string_contains :exec_dup (0 :string_remove_char :in2 :boolean_not :integer_eq :string_from_char :string_contains 2 :string_parse_to_chars :string_nth :string_remove_char :string_parse_to_chars :string_eq))), :runtime (0.003045692 0.0030569560000000004 0.003018747999999998 0.003073255999999999 0.0031438760000000007), :total-error 0, :amalgamated-error 0.015338527999999997}
{:generation 41, :program (:boolean_and :boolean_and :string_contains :exec_if (:integer_quot :in2 :string_length :boolean_eq :boolean_not :integer_add 2 :string_parse_to_chars :boolean_not :boolean_or :string_from_char 0 :string_iterate (0) :string_butlast :string_drop) (:string_indexof_char :exec_dup (:boolean_eq :string_parse_to_chars :string_reverse :string_take :string_length :in2 :string_occurencesof_char 2 :string_contains :string_parse_to_chars :string_contains_char :string_replace_char "" :boolean_eq :string_take :in1 :boolean_or :boolean_eq :in2 :string_butlast 1 :string_reverse :string_length :string_eq :boolean_eq :in1 :string_eq))), :runtime (0.0029751800000000017 0.0029875639999999994 0.003110240000000002 0.0030179000000000004 0.002923891999999998), :total-error 0, :amalgamated-error 0.015014776}
{:generation 42, :program (:string_contains :in1 :string_iterate () :string_contains_char :boolean_or :string_take :string_contains :integer_add :integer_mult :boolean_and :integer_mult :in1 :string_length :string_from_char :exec_dup (:string_contains :in1 :string_occurencesof_char :boolean_eq :integer_eq 1 :string_parse_to_chars :string_rest :boolean_or :string_iterate (:string_contains :string_butlast :string_remove_char :string_replace_char :string_contains :integer_eq 2 :integer_add false :string_remove_char :boolean_and :string_drop :string_concat :string_length :string_parse_to_chars :in2) :string_parse_to_chars :string_length :string_eq :string_parse_to_chars :string_length)), :runtime (0.003038160000000002 0.003023843999999999 0.0030217679999999985 0.0030358200000000016 0.014018963999999998), :total-error 0, :amalgamated-error 0.026138556}
{:generation 43, :program (:boolean_and :in2 :string_indexof_char :integer_subtract :exec_if (:boolean_or :string_contains :integer_quot :integer_eq :boolean_or :exec_dup (:string_contains 0 :exec_if (:boolean_not :string_occurencesof_char :string_drop :integer_quot :boolean_not :string_reverse :boolean_not "abcdefghijklmnopqrstuvwxyz" :boolean_eq "abcdefghijklmnopqrstuvwxyz" :string_rest :string_take :exec_dup ("" :boolean_and :integer_eq :string_from_char :string_parse_to_chars :integer_quot :string_indexof_char "abcdefghijklmnopqrstuvwxyz" :boolean_eq 0 0 :exec_dup (:string_occurencesof_char :integer_quot :string_remove_char :in2 :string_eq :string_length :string_eq :string_parse_to_chars :string_length) :string_parse_to_chars :string_eq)) ())) ()), :runtime (0.0030341199999999987 0.0030364240000000002 0.003047691999999998 0.0031086000000000013 0.002990976000000001), :total-error 1, :amalgamated-error 1.015217812}
{:generation 44, :program (:string_parse_to_chars :string_butlast :string_drop :string_length :string_concat 2 :integer_subtract :string_butlast :exec_dup (:boolean_or :string_iterate () :boolean_eq :string_from_char :boolean_and :boolean_or :string_contains :integer_eq "abcdefghijklmnopqrstuvwxyz" :exec_if (false :string_drop :string_rest :integer_quot :exec_if (:string_take :integer_quot :string_drop :in1) (:string_concat :string_remove_char :string_reverse :string_reverse :boolean_and "abcdefghijklmnopqrstuvwxyz" false :string_contains :string_nth :string_butlast :exec_dup ("abcdefghijklmnopqrstuvwxyz" "abcdefghijklmnopqrstuvwxyz" :string_occurencesof_char :in2 :string_butlast :boolean_or :exec_dup (:string_reverse :in2 :string_take :string_eq :integer_add :string_replace_char :string_contains_char :in2 :string_parse_to_chars :string_parse_to_chars 2 :string_rest :in2 :string_parse_to_chars :boolean_not :string_eq :string_length "" :string_occurencesof_char :string_eq)))) ())), :runtime (0.0030480480000000024 0.0029988080000000004 0.003037124000000002 0.0030191199999999993 0.0030489759999999984), :total-error 0, :amalgamated-error 0.015152076000000004}
{:generation 45, :program (:boolean_and :string_reverse :string_contains :string_contains :string_remove_char "abcdefghijklmnopqrstuvwxyz" :boolean_or :string_take :boolean_not :string_reverse 2 :string_contains_char :string_parse_to_chars 0 :string_replace_char :string_parse_to_chars :string_iterate (:string_reverse :string_drop false :string_iterate (:boolean_not) :string_concat :string_contains :string_contains :string_take :exec_dup (:boolean_eq :integer_add :string_contains :in2 :integer_quot 2 :string_contains :string_replace_char :string_replace_char :string_iterate (:string_indexof_char :string_take :boolean_eq :string_butlast :in1 :in2 :in2 :string_replace_char :string_length :exec_if (:string_butlast :exec_dup (:in2 :string_indexof_char :string_parse_to_chars :string_length :in1 :string_eq :string_from_char :in2)) ())))), :runtime (0.002988615999999999 0.0029128520000000027 0.0030085159999999997 0.0031016960000000014 0.003063831999999999), :total-error 0, :amalgamated-error 0.015075512000000001}
{:generation 46, :program (:boolean_and :string_reverse :string_contains :string_contains :string_remove_char "abcdefghijklmnopqrstuvwxyz" :boolean_or :string_take :boolean_not :string_reverse 2 :string_contains_char :string_parse_to_chars 0 :string_replace_char :string_parse_to_chars :string_iterate (:string_reverse :string_drop false :string_iterate (:boolean_not) :string_concat :string_contains :string_contains :string_take :exec_dup (:boolean_eq :integer_add :string_contains :in2 :integer_quot 2 :string_contains :string_replace_char :string_replace_char :string_iterate (:string_indexof_char :string_take :boolean_eq :string_butlast :in1 :in2 :in2 :string_replace_char :string_length :exec_if (:string_butlast :exec_dup (:in2 :string_indexof_char :string_parse_to_chars :string_length :in1 :string_eq :string_from_char :in2)) ())))), :runtime (0.0029660079999999996 0.0030048440000000004 0.0071808079999999995 0.002901060000000002 0.002973076), :total-error 0, :amalgamated-error 0.019025795999999998}
{:generation 47, :program (:string_contains :string_concat :string_iterate (:string_reverse :integer_add :string_rest :in1 :boolean_and :exec_if (:string_contains_char :boolean_not 1 :string_reverse :string_butlast :boolean_eq :integer_subtract :boolean_and "abcdefghijklmnopqrstuvwxyz" :string_remove_char :string_contains_char :boolean_eq "abcdefghijklmnopqrstuvwxyz" :string_contains "abcdefghijklmnopqrstuvwxyz" :boolean_and true :string_contains :string_rest :integer_mult "" :boolean_eq :integer_add 0 :string_occurencesof_char :string_from_char :string_drop :string_concat :string_parse_to_chars :boolean_or :in1) (:string_nth :in2 :string_parse_to_chars :string_length :string_eq))), :runtime (0.003022096 0.003044611999999999 0.0029862040000000023 0.0030050640000000017 0.0030334680000000036), :total-error 1, :amalgamated-error 1.015091444}
{:generation 48, :program (:string_concat :string_rest :boolean_not :string_drop :boolean_eq :string_take :boolean_eq :string_nth :boolean_not :string_take :string_contains :integer_quot :in2 :string_occurencesof_char :string_length :in2 :string_rest :string_iterate (:string_butlast :string_rest :boolean_eq :string_rest) :string_occurencesof_char :string_length :string_from_char 0 :integer_quot :boolean_eq :string_take true :integer_quot :string_contains_char :string_indexof_char :string_parse_to_chars "abcdefghijklmnopqrstuvwxyz" :string_drop :string_butlast :string_concat :boolean_and :integer_eq :integer_mult 1 :string_length :boolean_and :string_butlast :string_contains :in2 :string_concat :string_concat :string_from_char :in2 :string_parse_to_chars :string_rest :string_length :string_replace_char :exec_dup (:string_indexof_char :string_eq)), :runtime (0.0030310879999999986 0.00307012 0.0030780639999999997 0.0030960919999999995 0.0030034400000000013), :total-error 0, :amalgamated-error 0.015278804}
{:generation 49, :program (:string_concat :boolean_not :string_drop :boolean_eq :string_take :boolean_eq :string_nth :boolean_not :string_take :string_contains :integer_quot :in2 :string_occurencesof_char :string_length :in2 :string_rest :string_iterate (:string_butlast :string_rest :boolean_eq :string_rest :in1 :string_parse_to_chars) :string_contains_char :string_occurencesof_char :string_length :string_from_char 0 :integer_quot :string_take true :integer_quot :string_contains_char :string_indexof_char :string_parse_to_chars "abcdefghijklmnopqrstuvwxyz" :string_drop :string_butlast "" :string_concat :integer_eq :integer_mult 1 :string_butlast :string_contains :in2 :string_concat :string_concat :string_from_char :in2 :string_parse_to_chars :string_indexof_char :string_length :string_replace_char :exec_dup (:string_indexof_char :string_eq)), :runtime (0.0033503880000000023 0.001972227999999999 0.00295222 0.0030821280000000017 0.0030953599999999993), :total-error 0, :amalgamated-error 0.014452324000000003}
{:generation 50, :program (:string_concat :boolean_not :string_drop :string_from_char :boolean_eq :string_take :boolean_eq :string_nth :integer_quot :in2 :string_occurencesof_char :string_length :in2 :string_rest :string_iterate (:string_butlast :string_rest :boolean_eq :string_rest :in1 :string_parse_to_chars) :string_contains_char :string_length :string_from_char 0 :integer_quot :string_take true :integer_quot :string_contains_char :string_indexof_char :string_parse_to_chars "abcdefghijklmnopqrstuvwxyz" :string_drop :string_butlast "" :string_concat :integer_eq :integer_mult 1 :string_butlast :string_contains :in2 :string_concat :string_concat 1 :string_from_char :in2 :string_parse_to_chars :string_indexof_char :string_length :string_replace_char :exec_dup (:string_indexof_char :string_eq 0)), :runtime (0.0029935999999999995 0.0029979000000000026 0.0030088999999999975 0.0029844640000000013 0.0030358480000000007), :total-error 0, :amalgamated-error 0.015020712}
{:generation 51, :program (:string_contains :exec_if (:boolean_not :string_length :string_length 0 :boolean_eq) (:string_nth 0 false :exec_dup (1 :string_contains :string_nth "abcdefghijklmnopqrstuvwxyz" :string_length true :string_rest :string_indexof_char :integer_quot :string_from_char :string_length :string_nth :in2 :integer_add :string_remove_char 2 :string_contains :string_indexof_char :string_contains :in1 :string_iterate (:in1 2 2 :integer_add :string_contains :in2 :string_parse_to_chars :string_length :string_take :string_eq :string_contains :string_remove_char :in2 :string_length :string_parse_to_chars :string_length :string_butlast :in2 :integer_add :string_parse_to_chars :string_length :string_length)))), :runtime (0.002918387999999999 0.0029866559999999994 0.0030645760000000003 0.0029923079999999995 0.0030070479999999996), :total-error 0, :amalgamated-error 0.014968975999999997}
{:generation 52, :program (:integer_eq :boolean_or :string_length :integer_quot :string_length :boolean_eq :integer_subtract :in1 :string_parse_to_chars :string_parse_to_chars :integer_subtract :string_concat :string_indexof_char :string_contains :string_concat :integer_mult :boolean_not :integer_add :exec_dup (:in2 :string_concat :string_nth :string_take :in2 :string_take :integer_mult :boolean_and :string_parse_to_chars :integer_quot :string_eq :string_from_char :string_remove_char :boolean_not :integer_eq :string_butlast :string_contains_char :string_occurencesof_char :string_contains_char :in2 :integer_mult :integer_quot :string_length) :in2 :string_contains :string_replace_char :in2 0 :string_remove_char :string_butlast 0 :boolean_not :string_butlast :in2 :string_reverse :string_parse_to_chars :string_parse_to_chars :string_parse_to_chars :string_parse_to_chars :string_eq), :runtime (0.002116612 0.001846591999999999 0.001857076 0.0018409679999999997 0.0018491400000000002), :total-error 1, :amalgamated-error 1.009510388}
{:generation 53, :program (1 :string_butlast 0 :boolean_and :string_contains :string_indexof_char :string_take :exec_dup (:string_drop) "abcdefghijklmnopqrstuvwxyz" "abcdefghijklmnopqrstuvwxyz" :string_contains :integer_add :integer_mult :string_reverse :string_indexof_char :string_indexof_char "" :integer_quot :string_occurencesof_char :integer_mult :in1 0 :string_contains :in2 :string_parse_to_chars :string_from_char :boolean_not :string_indexof_char false :string_contains "abcdefghijklmnopqrstuvwxyz" :string_contains_char :string_concat :string_length :string_from_char 2 :string_take :in2 :string_nth :string_contains :in2 true :in2 :string_remove_char :boolean_not :string_eq :string_rest :string_take :in2 :string_parse_to_chars :string_length :string_parse_to_chars :string_remove_char :string_eq), :runtime (0.002998479999999999 0.003001656 0.003047416000000002 0.0029710479999999983 0.0030229319999999973), :total-error 1, :amalgamated-error 1.015041532}
{:generation 54, :program (:string_from_char :string_parse_to_chars :exec_dup (:integer_add "" "" :boolean_not 0 :string_nth :boolean_not :string_parse_to_chars :boolean_not :string_contains :string_rest :string_take :string_butlast :boolean_not :string_length :in1 "" 1 :string_contains :boolean_not :in2 :string_rest :string_nth :string_contains_char :string_drop :boolean_or :string_take :boolean_not :boolean_and :string_contains :string_take :integer_eq :string_contains :string_length :string_drop :string_contains :string_drop :string_contains_char :string_contains_char :in2 :integer_quot :string_reverse :string_from_char :in2 :string_occurencesof_char :integer_eq :string_concat :string_parse_to_chars :string_length :string_length :string_occurencesof_char :string_parse_to_chars :exec_dup (:string_eq))), :runtime (0.003072828000000004 0.003062456000000001 0.0030281799999999984 0.0029391439999999986 0.0030981239999999994), :total-error 0, :amalgamated-error 0.015200732}
{:generation 55, :program (true :boolean_eq :string_reverse :string_contains :integer_subtract :integer_mult :string_length :string_iterate (:string_contains 1 :integer_add :string_remove_char :in2 :string_butlast :string_take :string_rest :string_take :string_concat :string_reverse 1 :exec_dup (:string_nth :string_drop :string_reverse :string_butlast :string_contains :integer_mult :boolean_eq :string_contains_char 1 :string_rest :string_parse_to_chars true :boolean_not :string_rest :string_contains_char :string_contains_char :in2 :string_rest 2 :string_length :string_reverse :integer_mult :exec_dup (:string_indexof_char :string_length :integer_add :in2 :boolean_eq :string_parse_to_chars "abcdefghijklmnopqrstuvwxyz" :in2 :string_parse_to_chars :string_eq :string_length 0 :string_eq :string_remove_char :string_contains)))), :runtime (0.0030199120000000013 0.003098876000000001 0.003007328000000001 0.0027266400000000002 0.0030434880000000017), :total-error 0, :amalgamated-error 0.014896244000000006}
{:generation 56, :program (:string_reverse :string_contains :integer_subtract :integer_mult :string_length :string_iterate (:string_contains 1 :integer_add :string_remove_char :in2 :string_butlast :string_take :string_rest :string_take :string_concat 1 :exec_dup (:string_nth :string_drop :string_reverse :string_butlast :string_contains :integer_mult :boolean_eq :string_contains_char 1 :string_rest :string_parse_to_chars :string_rest :string_contains_char :string_contains_char :in2 2 :string_length :string_reverse :integer_mult :exec_dup (:string_iterate (:string_indexof_char :string_length :integer_add :in2 :boolean_eq :string_parse_to_chars "abcdefghijklmnopqrstuvwxyz" :in2 :string_parse_to_chars :string_eq :string_length :string_remove_char 1 0 :string_eq :string_remove_char :string_contains))))), :runtime (0.003078088 0.03950628000000001 0.003147004000000001 0.0029769759999999975 0.0030365), :total-error 0, :amalgamated-error 0.05174484800000001}
{:generation 57, :program (:string_length false :string_contains :integer_eq :string_contains true :string_from_char :string_concat :integer_quot :string_indexof_char :string_parse_to_chars :string_contains :string_drop :string_contains :string_rest :string_take :integer_add :string_indexof_char :string_rest :boolean_and :string_replace_char :exec_dup (:in1 :string_parse_to_chars :string_concat :integer_mult :integer_mult :in2 :boolean_eq :string_contains_char :string_contains_char :string_eq :string_length :string_drop :string_indexof_char :integer_quot :string_occurencesof_char :boolean_eq :integer_eq :boolean_eq :string_contains 0 :string_iterate (:in2 :integer_add :string_butlast :integer_add 0 :exec_dup (:string_remove_char :string_take 0 :string_concat :string_reverse false :string_butlast :string_reverse :string_rest :string_nth :boolean_or :string_remove_char :string_butlast :string_parse_to_chars false :in2 :string_drop :string_parse_to_chars :string_length :string_eq)))), :runtime (0.0029717919999999996 0.002989672000000001 0.002951676 0.0029998999999999985 0.003059596), :total-error 0, :amalgamated-error 0.014972635999999998}
{:generation 58, :program (:boolean_not :string_length :string_indexof_char :string_contains 2 :string_contains :string_parse_to_chars true :boolean_and :boolean_and :string_iterate (1 :string_remove_char 0 :boolean_not 1 :exec_dup (:string_contains "" :string_contains :integer_mult :boolean_not 0 :string_remove_char false :integer_quot :in1 :string_remove_char :boolean_and :string_from_char :string_contains "abcdefghijklmnopqrstuvwxyz" :string_from_char :string_contains 0 :string_indexof_char 0 0 :boolean_or :string_iterate (1 1 :string_indexof_char :string_length :boolean_or :integer_subtract :boolean_eq :in1 :string_from_char :string_reverse :string_contains :string_parse_to_chars :integer_eq :string_contains 2 :string_butlast false :string_contains :string_butlast :string_remove_char :boolean_not :string_length :string_parse_to_chars :in2 :string_parse_to_chars :integer_quot :string_parse_to_chars :integer_subtract :string_occurencesof_char :string_replace_char :string_take :string_length :string_eq)))), :runtime (0.00304226 0.0030320960000000006 0.002930776000000001 0.002985027999999998 0.0029412560000000015), :total-error 1, :amalgamated-error 1.014931416}
{:generation 59, :program (:string_contains :integer_quot :string_length :string_replace_char :string_rest :in2 :string_butlast :string_contains_char :boolean_and :string_concat false 0 false :exec_dup (:boolean_not :string_iterate (:string_contains :string_reverse :string_indexof_char :string_butlast :boolean_not "" :string_length :integer_mult :string_indexof_char :boolean_not :boolean_or 1 :string_take 2) :boolean_and "abcdefghijklmnopqrstuvwxyz" "abcdefghijklmnopqrstuvwxyz" :integer_add :string_parse_to_chars true false :string_contains :string_indexof_char 0 0 :string_eq :string_parse_to_chars :string_indexof_char :string_from_char :string_from_char :exec_dup (:integer_mult :string_length 1 :string_replace_char :string_replace_char :string_eq :integer_eq :in2 :string_parse_to_chars 2 :string_parse_to_chars :string_take :string_length :string_butlast :string_remove_char :integer_add :string_replace_char :in2 :string_parse_to_chars :string_replace_char :string_take :string_length :string_eq))), :runtime (0.0029787159999999993 0.003035963999999999 0.0029463399999999995 0.003069284 0.0030281520000000023), :total-error 0, :amalgamated-error 0.015058456}
{:generation 60, :program (:string_iterate (:string_contains 2) 1 :string_contains :string_take :string_eq :string_contains_char :string_contains :string_take :string_contains :string_rest :in1 :integer_quot :string_drop :string_parse_to_chars true :in2 :string_concat :integer_add :string_eq :in1 :string_iterate (:string_from_char false :string_rest 0 :string_from_char :string_indexof_char :string_replace_char :string_rest 2 :in2 :string_replace_char :string_contains :string_remove_char :string_replace_char :in2 :string_replace_char false :string_parse_to_chars :string_parse_to_chars :string_length :string_remove_char :string_parse_to_chars :string_eq :string_length)), :runtime (0.0030600280000000033 0.0030150639999999987 0.0030481080000000025 0.003005608 0.003001544000000001), :total-error 1, :amalgamated-error 1.015130352}
{:generation 61, :program (:string_replace_char :boolean_and :string_rest :string_indexof_char :integer_subtract :boolean_and :boolean_or :in1 :string_contains :string_iterate (:string_length :string_butlast :string_nth :string_length :exec_if (:exec_dup (:boolean_eq :boolean_or :integer_add :string_contains :string_replace_char :string_eq :string_concat :string_replace_char 2 2 0 :string_replace_char :string_rest :integer_eq :string_from_char :exec_dup (true :boolean_not :in2 :string_remove_char :string_from_char :string_eq :string_parse_to_chars :string_contains :integer_mult :in2 :string_parse_to_chars :in1 :string_length :string_parse_to_chars :string_eq :string_parse_to_chars :string_rest :string_concat :string_eq :string_remove_char :string_replace_char))) ())), :runtime (0.0030324480000000027 0.0031230520000000016 0.003110624000000001 0.003081563999999997 0.0031586319999999998), :total-error 0, :amalgamated-error 0.015506320000000002}
{:generation 62, :program (:string_replace_char :boolean_and :string_rest :string_rest :string_indexof_char :integer_subtract :boolean_and :boolean_or :in1 :string_contains :string_iterate (:string_length :string_butlast :string_nth :exec_if (:exec_dup (:boolean_eq :boolean_or :integer_add :string_contains :string_replace_char :string_eq :string_concat :string_replace_char :in2 2 2 0 :string_replace_char :string_rest :integer_eq :string_from_char :exec_dup (true :boolean_not :in2 :string_remove_char :string_from_char :string_eq :string_parse_to_chars :string_contains :integer_mult :in2 :in1 :string_parse_to_chars :in1 :string_length :string_parse_to_chars :string_eq :string_parse_to_chars :string_rest :string_concat :string_eq :string_remove_char :string_replace_char))) ())), :runtime (0.0030356279999999994 0.002956456000000001 0.0030507200000000003 0.003076908000000002 0.0030795119999999965), :total-error 0, :amalgamated-error 0.015199223999999997}
{:generation 63, :program (:string_replace_char :string_contains :string_length :string_remove_char :string_indexof_char :integer_quot :string_from_char :string_indexof_char :integer_mult :exec_dup (:string_contains :string_iterate (:string_length :string_butlast :string_nth) :exec_if (:exec_dup (true true :string_contains :string_replace_char :integer_add :string_eq :string_iterate (2 :string_take 0 :string_replace_char :string_rest :string_from_char :string_from_char :string_nth :string_rest 2 :string_reverse :string_from_char :string_reverse :string_remove_char :string_replace_char :in2 :integer_mult false :string_parse_to_chars :string_parse_to_chars :string_length :string_parse_to_chars :string_reverse :string_parse_to_chars :string_eq :string_length 1 :string_eq :string_contains_char "abcdefghijklmnopqrstuvwxyz" :string_length :string_concat 1))) ())), :runtime (0.0031422799999999995 0.0030264400000000013 0.0017855559999999993 0.0018202680000000005 0.001795727999999999), :total-error 0, :amalgamated-error 0.011570272}
{:generation 64, :program (:string_replace_char :string_contains :string_take :boolean_eq true :string_parse_to_chars :string_butlast 1 :string_length :string_take :string_drop :string_nth :integer_quot :exec_if (:string_parse_to_chars :string_eq :string_butlast :integer_eq :string_replace_char :string_concat :string_replace_char :string_take :string_parse_to_chars :string_eq :string_from_char :string_remove_char :string_butlast 2 :string_rest :string_length :string_length :in1 :string_from_char :in2 :string_eq :string_replace_char 1 :string_iterate (:string_contains 0 :string_eq :string_reverse :in2 :in1 :string_parse_to_chars :string_parse_to_chars :string_length :string_eq)) ()), :runtime (0.003106839999999998 0.003252332 0.047248908 0.0029803359999999997 0.003115972000000001), :total-error 1, :amalgamated-error 1.059704388}
{:generation 65, :program (:string_length :boolean_or :string_take :boolean_eq :exec_if (:boolean_or "" :integer_add :string_length true :string_length :string_drop :string_drop 2 :string_iterate (:string_butlast :integer_subtract :boolean_eq :string_take :exec_dup (:string_concat :string_nth :string_iterate (true :string_contains :string_rest :string_iterate (2 :string_contains :string_contains_char :string_rest :boolean_or :string_reverse :in1 :exec_dup (:string_eq :string_eq :in2 :string_parse_to_chars :boolean_or :integer_subtract :string_length :string_parse_to_chars :string_eq :string_length :string_contains)))))) ()), :runtime (0.003117684000000001 0.0030607199999999994 0.003075531999999999 0.002977564000000002 0.0030738359999999995), :total-error 0, :amalgamated-error 0.015305336000000001}
{:generation 66, :program (:string_replace_char 0 :string_eq :string_nth 2 :string_eq :string_contains_char :string_from_char :string_parse_to_chars :integer_eq :string_length :string_length :string_take :string_rest "" true :integer_add false :string_reverse :integer_subtract :string_occurencesof_char "" :boolean_and :in1 :boolean_and :integer_add 0 false :string_eq :string_nth :boolean_not :string_indexof_char :in1 2 :exec_dup (:string_parse_to_chars 1 :in2 :string_parse_to_chars :integer_eq :string_length :integer_mult :string_contains :string_length :string_reverse :string_contains :string_eq :string_indexof_char)), :runtime (0.0031121800000000004 0.003020080000000001 0.003041843999999998 0.0030189960000000004 0.0029452640000000013), :total-error 0, :amalgamated-error 0.015138364}
