{:generation 0, :program (:string_indexof_char :string_contains_char :string_concat :integer_add :string_replace_char true :boolean_or :string_concat :string_contains :integer_quot true :exec_dup (:exec_dup (true :integer_mult :string_butlast :string_replace_char :boolean_not :string_take :in1 :string_iterate (:string_parse_to_chars)))), :runtime (0.0024950960000000005 0.0018786719999999988 0.0018031039999999992 0.001785647999999999 0.001802344), :total-error 2, :amalgamated-error 2.009764864}
{:generation 37, :program (false 2 :in2 false :boolean_or :string_butlast :string_from_char "abcdefghijklmnopqrstuvwxyz" :integer_eq :string_nth :in1 :in1 :in2 :in1 :exec_dup (:string_concat :string_remove_char :integer_add :boolean_and false :boolean_and :string_contains :string_rest :string_reverse :string_take :in2 :in1) :string_contains :in2 :string_parse_to_chars :integer_eq :in2 :in2 :string_parse_to_chars :string_parse_to_chars :string_concat :string_contains false :string_contains :string_contains 2), :runtime (0.00304514 0.0029471200000000014 0.002891216 0.0018431760000000002 0.0017694240000000006), :total-error 0, :amalgamated-error 0.012496076000000002}
{:generation 38, :program (:string_occurencesof_char :string_indexof_char :string_drop :boolean_or :string_indexof_char :string_contains_char "" :string_parse_to_chars :in1 :string_replace_char :in1 :string_contains :string_concat :string_take :string_drop :string_drop :string_nth :string_reverse :in1 :string_iterate (:integer_subtract :string_reverse 2 :in1 :boolean_or) :string_contains :string_rest :string_replace_char :in2 "abcdefghijklmnopqrstuvwxyz" :string_occurencesof_char :integer_subtract :string_contains :string_contains_char :string_drop :integer_eq :integer_eq :string_contains_char :string_take :integer_quot 1 :exec_dup (:string_length :in2 :string_parse_to_chars 2 :string_take :string_reverse :string_parse_to_chars :boolean_and :string_nth :string_contains :string_occurencesof_char 1 :string_parse_to_chars :integer_subtract :integer_eq :string_length :string_eq)), :runtime (0.003060220000000002 0.002997796000000002 0.003042152 0.0029427080000000018 0.0030197240000000005), :total-error 0, :amalgamated-error 0.015062600000000006}
{:generation 39, :program (:string_reverse :in2 :in1 :string_rest :string_reverse :boolean_or :string_parse_to_chars :string_drop :string_iterate () :boolean_and :string_contains_char :string_take :string_butlast 2 :in2 :string_take :in1 :string_remove_char :string_reverse :string_remove_char :boolean_and :string_concat :string_reverse 2 :string_remove_char :in1 false :string_occurencesof_char :integer_eq :string_indexof_char :boolean_not 1 :in2 :string_parse_to_chars :string_nth :string_from_char :integer_eq :string_concat :string_contains 1 :string_occurencesof_char :string_contains :string_occurencesof_char :string_reverse 1 :string_contains), :runtime (0.003050124000000001 0.001838244 0.0018343639999999987 0.001816280000000001 0.0018131999999999992), :total-error 0, :amalgamated-error 0.010352212}
{:generation 40, :program (:string_reverse 1 :string_reverse :string_butlast :integer_add :integer_eq :integer_eq "abcdefghijklmnopqrstuvwxyz" :boolean_or 2 :string_butlast false :string_concat :string_rest :exec_dup (:integer_mult) :string_nth :string_contains :string_eq :boolean_eq :string_rest false "" :string_drop :in2 :string_remove_char :string_parse_to_chars :string_length :string_parse_to_chars 1 :string_length false :string_take :string_drop :string_contains :string_indexof_char :string_remove_char :string_contains :integer_mult :string_contains :string_occurencesof_char :string_contains :exec_dup ("abcdefghijklmnopqrstuvwxyz" :string_eq :string_from_char)), :runtime (0.0029996600000000008 0.0029929320000000002 0.0029826119999999995 0.0030062760000000026 0.002922544), :total-error 0, :amalgamated-error 0.014904024000000002}
{:generation 41, :program (:string_reverse 1 :string_reverse :string_butlast :integer_quot :integer_add :integer_eq :integer_eq "abcdefghijklmnopqrstuvwxyz" :boolean_or 2 :string_butlast false :string_concat :string_rest :exec_dup (:integer_mult) :string_nth :string_contains :string_eq :boolean_eq :string_rest false "" :in2 :string_remove_char :string_parse_to_chars :string_length 1 :string_length false :string_take :string_drop :string_contains :string_indexof_char :string_remove_char :string_contains :integer_mult :string_contains :string_occurencesof_char :string_contains "abcdefghijklmnopqrstuvwxyz" :string_eq :string_from_char), :runtime (0.0030326320000000004 0.0030917119999999995 0.0031091520000000004 0.0031429400000000008 0.0018296080000000004), :total-error 0, :amalgamated-error 0.014206044000000001}
{:generation 42, :program (:in2 false :string_from_char "abcdefghijklmnopqrstuvwxyz" :integer_eq :string_nth :in1 :in1 :string_contains :integer_subtract :boolean_not :in1 "abcdefghijklmnopqrstuvwxyz" :integer_add "abcdefghijklmnopqrstuvwxyz" :boolean_and false :boolean_and :string_nth :string_reverse :string_take :in1 :string_contains :in2 :string_parse_to_chars :boolean_and :in2 :boolean_not :integer_add :in2 :string_parse_to_chars :string_concat :string_contains false :string_drop :string_contains :string_contains 2), :runtime (0.002954804 0.002995044 0.002998028000000002 0.0029986679999999986 0.0029951279999999992), :total-error 0, :amalgamated-error 0.014941672}
{:generation 43, :program (false :in2 false :string_reverse :string_butlast :string_from_char "abcdefghijklmnopqrstuvwxyz" false :string_nth :in1 :in1 :string_contains false 1 :in1 "abcdefghijklmnopqrstuvwxyz" :integer_add :boolean_and false :boolean_and "abcdefghijklmnopqrstuvwxyz" :string_nth :string_reverse :string_take :in1 :string_contains :in2 :string_parse_to_chars :in2 :boolean_not :in2 :string_parse_to_chars :string_concat :in1 :string_contains true :string_contains :string_contains 2), :runtime (0.003063744000000002 0.003066932 0.0030447600000000023 0.002959703999999999 0.0030175640000000012), :total-error 0, :amalgamated-error 0.015152704000000003}
{:generation 44, :program (:string_nth :integer_mult :boolean_eq :boolean_not :boolean_not :integer_mult :boolean_eq :string_drop :in2 :string_iterate (:string_nth :exec_if () (:exec_dup (false :string_parse_to_chars :string_length :string_drop :string_rest :string_reverse :integer_add :string_contains :string_concat :string_rest "" "abcdefghijklmnopqrstuvwxyz" :integer_quot) :string_nth :string_parse_to_chars "" :string_indexof_char :string_indexof_char false :in2 :string_from_char :boolean_or "abcdefghijklmnopqrstuvwxyz" :string_butlast :integer_add :string_contains :string_contains))), :runtime (0.003005692000000001 0.0031401880000000012 0.0030173160000000017 0.002988684000000001 0.0031291560000000014), :total-error 0, :amalgamated-error 0.015281036000000008}
{:generation 45, :program (:string_reverse :string_parse_to_chars :in2 :string_drop :in1 :string_concat :boolean_or 2 :integer_eq :string_contains true :string_occurencesof_char :boolean_not :string_parse_to_chars :boolean_and :boolean_eq :string_reverse :string_nth :string_contains :string_occurencesof_char :string_contains :in2 :string_replace_char :in1 :string_occurencesof_char :integer_mult :string_from_char :string_replace_char :in2 :string_concat :string_drop true :boolean_and :string_contains :string_contains 2 :integer_subtract :string_occurencesof_char :string_butlast :integer_subtract :string_length), :runtime (0.0030445879999999987 0.0029970559999999997 0.0031374760000000023 0.0031883359999999978 0.0032058959999999976), :total-error 0, :amalgamated-error 0.015573351999999997}
{:generation 46, :program (:in2 true :string_remove_char :in1 :string_from_char :string_nth :in1 :in2 :in1 :integer_subtract :boolean_not :in1 :string_nth "abcdefghijklmnopqrstuvwxyz" :integer_add :boolean_and false :string_reverse :string_take :string_indexof_char :string_contains :string_parse_to_chars :boolean_and :integer_add :in2 :in1 :boolean_not :in2 :string_parse_to_chars :string_contains :string_concat false :string_contains :string_contains 2), :runtime (0.003073584000000001 0.003052787999999998 0.003028684000000003 0.0030719919999999995 0.0030884199999999997), :total-error 0, :amalgamated-error 0.015315468}
{:generation 47, :program (:in2 true :string_remove_char :in1 :string_from_char :string_nth :in1 :in2 :boolean_not :in1 :string_nth "abcdefghijklmnopqrstuvwxyz" :integer_add :boolean_and false :string_reverse :string_take :string_contains :string_parse_to_chars :integer_add :in2 :in1 :boolean_not :in2 :string_parse_to_chars :exec_if (:string_contains :string_concat false :string_contains :string_contains 2) ()), :runtime (0.003099344000000001 0.0029286520000000016 0.0030233720000000007 0.0030866200000000004 0.003071576), :total-error 0, :amalgamated-error 0.015209564000000004}
{:generation 48, :program (:in1 2 :string_parse_to_chars :string_occurencesof_char :string_contains :in1 :string_replace_char 2 :integer_eq :integer_eq 1 false :string_contains_char :string_length :string_parse_to_chars "" :string_parse_to_chars :string_reverse :integer_mult :string_from_char :exec_dup (:string_parse_to_chars :string_indexof_char :string_remove_char :boolean_and :string_from_char 1 :in1 :in2 :string_occurencesof_char :string_contains :string_replace_char) :string_from_char :string_replace_char :string_from_char :string_contains :string_indexof_char :string_butlast 1 :string_remove_char :string_parse_to_chars :string_contains :string_nth "abcdefghijklmnopqrstuvwxyz" :in2 :integer_subtract :string_drop :integer_add :string_butlast true "abcdefghijklmnopqrstuvwxyz" :boolean_eq :string_nth :integer_add :boolean_and :in2 :string_parse_to_chars :string_length :string_eq :string_rest :integer_subtract 1 :in2), :runtime (0.0017892239999999985 0.0018030719999999995 0.0017994119999999998 0.001851259999999999 0.0018307160000000005), :total-error 1, :amalgamated-error 1.009073684}
{:generation 49, :program (:string_contains true :integer_quot :string_from_char :exec_dup (:boolean_or 1 :string_occurencesof_char :boolean_not true 1 :string_replace_char :in1 :string_take :string_length "" 0 :string_length :string_length :string_nth :string_parse_to_chars :string_remove_char 1 :in1 :in1 :string_butlast :in2 :string_parse_to_chars :string_concat :integer_subtract :string_contains :string_contains :string_reverse) :string_replace_char :in1 :integer_add :string_butlast :string_parse_to_chars 0 :boolean_eq :string_concat :string_replace_char :integer_subtract :integer_mult :string_eq :integer_add), :runtime (0.003068564 0.0018339279999999994 0.0018281999999999994 0.0018613959999999998 0.0018363039999999987), :total-error 1, :amalgamated-error 1.010428392}
{:generation 50, :program (:string_nth :integer_mult :string_parse_to_chars :string_iterate (:boolean_not :boolean_eq :integer_mult :string_reverse :string_butlast :string_parse_to_chars :string_reverse :string_concat :string_contains) :boolean_eq :string_indexof_char :in1 true :integer_eq 2 :integer_subtract :string_concat :boolean_eq :string_contains :string_reverse :boolean_not :boolean_not :string_eq true :string_indexof_char :string_indexof_char :exec_if (2 :string_replace_char :string_parse_to_chars :in2 :integer_quot :exec_dup (true :string_parse_to_chars :integer_quot :string_parse_to_chars :string_parse_to_chars :boolean_eq :string_length :in2 :integer_quot :string_length :integer_subtract :string_eq :string_length)) ()), :runtime (0.0029628279999999994 0.0029765599999999996 0.0030499120000000014 0.0017695280000000002 0.002957339999999998), :total-error 1, :amalgamated-error 1.013716168}
{:generation 51, :program (:integer_subtract :in1 :string_remove_char :string_remove_char :string_remove_char "abcdefghijklmnopqrstuvwxyz" :string_replace_char :integer_quot :integer_quot :integer_add :string_concat :exec_dup (:string_contains :string_drop :string_contains_char :integer_add :boolean_eq 0 :boolean_eq "" :integer_subtract true :in1 :string_contains_char :integer_mult :boolean_eq 1 "abcdefghijklmnopqrstuvwxyz" 2 :exec_dup (:integer_quot 1 :integer_subtract :boolean_or :in2 true false :string_nth :in1 :in2 :string_nth :integer_quot :string_parse_to_chars :boolean_and true :string_occurencesof_char :string_occurencesof_char :integer_subtract :string_contains 1))), :runtime (0.001858376000000001 0.001779636 0.001758436000000001 0.0017819839999999995 0.0017631720000000004), :total-error 1, :amalgamated-error 1.008941604}
{:generation 52, :program (:in1 :boolean_not :integer_eq :integer_mult :string_iterate (:string_butlast :string_contains_char) :string_replace_char :exec_dup (:string_length :string_parse_to_chars "" 2 :in1 :string_from_char :string_eq :string_eq :string_contains_char :boolean_eq :string_contains_char :boolean_or :string_contains :string_parse_to_chars :integer_mult :string_length 1 :in2 :in2 :string_contains :string_contains 0 :string_contains :string_take :integer_add :in2 :integer_subtract :string_parse_to_chars :string_length 1 :integer_add :string_eq :string_parse_to_chars :string_eq)), :runtime (0.0017646000000000003 0.0017675440000000013 0.0017764599999999984 0.0017758279999999997 0.0017588600000000003), :total-error 1, :amalgamated-error 1.008843292}
{:generation 53, :program (:boolean_and true :string_from_char :string_take :boolean_eq :exec_dup (:string_remove_char :in1 :integer_mult :string_remove_char :string_remove_char :exec_dup (:string_take false :string_parse_to_chars :string_contains_char :string_length :boolean_eq :string_contains :boolean_eq 0 :string_butlast :string_take :string_remove_char :boolean_eq :boolean_not) :in2 2 true false :string_reverse :string_take 2 :integer_eq :string_butlast :string_rest :in2 :string_concat 0 :string_indexof_char false :string_eq :string_parse_to_chars :boolean_or :string_butlast :boolean_and :string_take :in2 :string_eq :string_contains)), :runtime (0.0030933479999999997 0.0029768679999999997 0.0031191280000000014 0.001769091999999999 0.0018390480000000002), :total-error 1, :amalgamated-error 1.012797484}
{:generation 54, :program (:boolean_or :exec_if (:string_contains_char :string_remove_char :string_rest :string_remove_char 2 :string_indexof_char :string_drop true :string_concat :string_iterate (:string_contains :string_take :in2 :integer_add :boolean_eq :string_from_char :integer_eq :boolean_and 1) :string_butlast :integer_mult :integer_eq 2 :integer_quot :integer_mult false 0 :string_parse_to_chars :string_butlast :integer_quot true :boolean_and :string_contains :integer_mult false :in2 :string_parse_to_chars :string_length :string_from_char :string_contains :integer_subtract :string_replace_char :string_iterate (:string_remove_char :string_eq :string_nth :integer_mult)) ()), :runtime (0.003126456 0.003043764000000002 0.0032196840000000013 0.0020170639999999985 0.0018675119999999993), :total-error 0, :amalgamated-error 0.013274480000000003}
{:generation 55, :program (:exec_dup (:string_nth :in1 :string_contains :integer_quot :string_concat :string_remove_char :string_contains :string_replace_char :integer_quot 0 :integer_quot :integer_add :in1 :string_concat :string_nth :string_contains :string_length :in2 :string_contains_char :string_concat :integer_add :string_remove_char) true :string_nth :in1 :integer_mult :boolean_eq 1 true :string_remove_char :string_concat :integer_subtract :exec_dup (1 :string_reverse :in2 true :string_take false :integer_mult :string_nth :string_nth :in2 :string_parse_to_chars :string_length :string_eq :string_occurencesof_char :string_contains)), :runtime (0.003089544 0.0030023960000000014 0.002700079999999999 0.0018397319999999995 0.0018244240000000005), :total-error 0, :amalgamated-error 0.012456176000000001}
{:generation 56, :program (:exec_dup (:string_nth :in1 :string_contains :integer_quot :string_concat :string_remove_char :string_contains :string_replace_char :integer_quot 0 :integer_quot :integer_add :in1 :string_concat :string_contains :string_length :in2 :string_contains_char :string_concat :integer_add :string_remove_char) true :string_butlast :string_nth :in1 :integer_mult :boolean_eq 1 true :string_remove_char :string_concat :integer_subtract :string_reverse :exec_dup (1 :boolean_eq :string_reverse :in2 true :string_take false :integer_mult :string_nth :string_nth :in2 :string_parse_to_chars :string_length :string_eq :string_occurencesof_char :string_contains)), :runtime (0.003056980000000001 0.04173532399999999 0.003087256000000001 0.003028852 0.002956796), :total-error 0, :amalgamated-error 0.05386520799999999}
{:generation 57, :program (:boolean_and :string_butlast :in2 :string_occurencesof_char :in1 :string_remove_char :exec_dup (:string_iterate (:in2 :boolean_and "abcdefghijklmnopqrstuvwxyz" 0 :in2 :integer_quot :string_butlast :string_nth :in1) :string_occurencesof_char :string_replace_char :boolean_eq) :string_contains :string_parse_to_chars :string_parse_to_chars :string_occurencesof_char :string_contains_char "abcdefghijklmnopqrstuvwxyz" false :string_rest :string_concat :integer_eq :string_butlast :string_butlast :string_occurencesof_char :string_contains true :string_replace_char :string_concat :in2 :integer_quot :string_replace_char :boolean_or :string_parse_to_chars :string_parse_to_chars :string_length :in2 "abcdefghijklmnopqrstuvwxyz" :string_take :string_eq 0 :string_contains), :runtime (0.003156043999999999 0.003007207999999999 0.0031360959999999997 0.0029763159999999975 0.003063140000000001), :total-error 0, :amalgamated-error 0.015338803999999996}
{:generation 58, :program (:integer_add :string_rest :exec_dup (:string_iterate (:integer_mult true :in1 :string_iterate (:string_eq :boolean_eq :string_parse_to_chars :integer_quot :string_reverse 1 :string_length :boolean_eq :string_occurencesof_char :string_reverse :exec_if (true :string_parse_to_chars :string_from_char :string_butlast :in2 :integer_mult :integer_quot :boolean_and :string_concat :string_replace_char :in2 :in2 :string_contains_char :string_contains_char :integer_eq :string_parse_to_chars :string_parse_to_chars :string_butlast :in2 :string_remove_char :string_replace_char :string_occurencesof_char :string_length :integer_quot) () :string_parse_to_chars) :string_parse_to_chars :string_length :string_reverse :string_eq :string_replace_char))), :runtime (0.0030060880000000027 0.0018489079999999985 0.0018201679999999998 0.0018384959999999991 0.0017675000000000024), :total-error 1, :amalgamated-error 1.01028116}
{:generation 59, :program (:integer_eq :string_contains_char :in1 :string_replace_char :string_length :in1 1 :string_rest :integer_add :exec_if (:boolean_eq :string_nth :string_eq :string_reverse :string_contains_char :boolean_eq :string_contains_char :string_rest :boolean_or :exec_dup (:string_contains :string_parse_to_chars :integer_mult :boolean_eq :in2 :string_contains :boolean_and :string_rest :string_contains 0 :string_remove_char :string_take :boolean_and :in2 :integer_quot :integer_subtract :string_parse_to_chars :integer_subtract) :string_length :string_from_char 1 :string_eq :string_parse_to_chars :string_remove_char :string_eq) ()), :runtime (0.001846543999999999 0.0018383999999999983 0.00181354 0.0019889720000000003 0.001800448000000001), :total-error 1, :amalgamated-error 1.009287904}
{:generation 60, :program (:string_nth :string_contains 1 :string_take :integer_mult :string_remove_char 0 :string_nth :string_take :string_butlast :string_iterate (false :integer_quot :string_butlast 0 :boolean_not :string_remove_char :string_reverse :integer_subtract :string_reverse :exec_if (:string_length :in1 :string_reverse :string_reverse :boolean_or "" :string_eq 2 :integer_mult :string_nth :string_eq :boolean_eq :boolean_or :in2 :string_length :string_nth :in2 :string_parse_to_chars :integer_mult :string_length 2 :integer_mult :string_contains :string_take) (:string_eq))), :runtime (0.0018007959999999995 0.0017914999999999993 0.0018477079999999985 0.0018529719999999987 0.001863587999999999), :total-error 1, :amalgamated-error 1.009156564}
{:generation 61, :program (:boolean_and :in2 :exec_dup (:string_reverse) :integer_eq :in1 :integer_mult :string_nth :integer_quot :string_butlast :string_iterate (2 :integer_quot "abcdefghijklmnopqrstuvwxyz") :string_from_char :string_contains_char :string_reverse :string_eq :integer_eq "" :string_parse_to_chars :exec_dup (:boolean_not :string_parse_to_chars :boolean_and :in2) :string_reverse :in1 :string_from_char :string_reverse 1 :integer_subtract :string_drop :boolean_or :string_indexof_char :string_replace_char :string_parse_to_chars :string_replace_char :string_drop :string_remove_char :integer_quot :string_take :boolean_and :string_from_char :in2 :boolean_or :integer_add :string_concat :in2 :string_parse_to_chars :string_length :string_contains), :runtime (0.0017725879999999994 0.001774816 0.0017841279999999985 0.0017610000000000013 0.001765611999999998), :total-error 1, :amalgamated-error 1.008858144}
{:generation 62, :program (:string_occurencesof_char :string_replace_char :string_from_char :string_contains_char :string_replace_char :string_remove_char :string_contains_char :integer_eq :string_concat 2 :string_remove_char :string_from_char :string_contains_char :integer_subtract :integer_add :boolean_and :string_contains_char :in1 :string_take :string_eq :in2 :string_contains :string_contains :boolean_not :boolean_or 2 :string_reverse true :in2 :in1 :string_parse_to_chars :string_parse_to_chars :boolean_or true 0 :boolean_and :string_reverse :integer_quot :integer_mult 2 :string_parse_to_chars false :in2 :string_eq :string_contains :integer_add :string_butlast), :runtime (0.002534592000000001 0.0017722639999999993 0.0018339439999999992 0.0018143600000000003 0.0018061799999999995), :total-error 1, :amalgamated-error 1.00976134}
{:generation 63, :program (true :string_nth :integer_add :string_parse_to_chars :string_contains "abcdefghijklmnopqrstuvwxyz" :in2 :string_occurencesof_char :integer_quot :in1 :integer_subtract :string_iterate (:string_concat :string_contains :string_length 0 :string_contains :string_butlast :boolean_eq :integer_add :string_length :in1 :boolean_not 0 true "" :string_remove_char :integer_mult :string_nth :boolean_eq :string_length :string_nth 0 :string_butlast :string_eq :integer_subtract :string_length :in2 :integer_subtract :integer_mult :string_nth :integer_quot :in2 :string_parse_to_chars true :string_parse_to_chars :string_rest) :boolean_and :string_length :string_eq :integer_subtract), :runtime (0.010523215999999995 0.003031268000000002 0.0017731439999999995 0.0018632079999999986 0.0018537280000000009), :total-error 0, :amalgamated-error 0.019044563999999996}
{:generation 64, :program (:string_nth :exec_dup (true :boolean_eq true :in1 :string_nth :string_indexof_char :string_parse_to_chars :in1 :string_parse_to_chars :string_reverse :integer_quot :in1 :string_reverse :integer_subtract :string_reverse "" :boolean_not :string_remove_char :boolean_not :string_occurencesof_char :string_concat :string_contains 1 true :string_concat false :string_reverse 1 :in1 :string_indexof_char :string_drop :boolean_and :boolean_or :string_contains :string_indexof_char :string_replace_char :integer_add :in2 :in1 :string_length :string_eq :string_reverse :string_reverse :string_parse_to_chars :in2 :integer_add :string_parse_to_chars)), :runtime (0.0030335120000000017 0.0030056760000000005 0.0030912039999999993 0.003037368000000001 0.002244748), :total-error 0, :amalgamated-error 0.014412508000000001}
{:generation 65, :program (:string_contains :string_contains_char :in1 :in1 :string_occurencesof_char :string_drop :boolean_eq :in2 :string_eq :string_drop 2 :string_contains :string_indexof_char :string_contains_char :string_rest :string_reverse "" :string_concat :string_contains_char :string_parse_to_chars :string_parse_to_chars :string_from_char :integer_mult :string_contains :boolean_not :string_butlast :boolean_eq :integer_eq :in2 :string_parse_to_chars :integer_subtract :string_from_char :string_length :boolean_or :boolean_and :string_contains_char :string_remove_char :integer_add 0 :string_eq :string_concat :string_drop :string_contains :string_from_char :string_parse_to_chars :string_butlast :string_parse_to_chars :string_length :string_contains), :runtime (0.0030538080000000025 0.003298124000000001 0.0030589840000000003 0.003236176000000002 0.0030242800000000016), :total-error 0, :amalgamated-error 0.015671372000000006}
{:generation 66, :program (:exec_if (:boolean_and 0 :boolean_and :boolean_or :exec_dup (:string_nth :string_replace_char :string_from_char :string_nth :string_occurencesof_char :boolean_and true :in2 :integer_eq 0 :string_nth 0 :string_reverse :boolean_or :string_take :string_parse_to_chars :string_length :string_take :boolean_not :integer_eq :string_length false :string_reverse :boolean_or :integer_mult :exec_dup () :integer_mult) :string_remove_char "abcdefghijklmnopqrstuvwxyz" "abcdefghijklmnopqrstuvwxyz" :string_length :boolean_eq true :string_contains :exec_dup (0 true :in2 :string_length :string_length :string_eq :in1 :string_replace_char :string_contains_char :string_nth :integer_quot :in2 :string_parse_to_chars) :string_occurencesof_char :string_parse_to_chars :integer_subtract :string_contains :boolean_and :string_parse_to_chars :string_contains :string_length :string_concat) ()), :runtime (0.0029375400000000006 0.0029266640000000007 0.0017637920000000004 0.0017655240000000007 0.0017560559999999998), :total-error 1, :amalgamated-error 1.011149576}
{:generation 67, :program (:boolean_and :integer_eq :integer_eq :string_butlast :boolean_eq "" 0 :in1 :string_replace_char :string_drop :integer_mult :string_contains_char :string_indexof_char :string_length :string_reverse :boolean_and :string_parse_to_chars :boolean_and :string_contains :string_parse_to_chars :integer_subtract :string_length :string_reverse :exec_dup (:string_rest :boolean_eq :string_length :string_eq :in2 :string_contains_char :string_parse_to_chars :boolean_eq :string_contains_char :string_butlast 1 true :string_indexof_char :string_length :string_contains :string_occurencesof_char :string_parse_to_chars :string_remove_char :integer_quot) :string_parse_to_chars :boolean_and :string_parse_to_chars :string_length :string_eq), :runtime (0.0030033959999999993 0.0030224800000000014 0.033903532000000014 0.0030201240000000003 0.0023352480000000007), :total-error 0, :amalgamated-error 0.04528478000000001}
{:generation 68, :program (:in1 :string_occurencesof_char :string_drop 2 "abcdefghijklmnopqrstuvwxyz" true false :integer_add :boolean_eq :integer_mult :string_take :exec_if (:boolean_or) (:boolean_and true) :string_concat :string_occurencesof_char :string_remove_char :string_eq :string_drop :boolean_and :string_occurencesof_char :string_from_char :string_remove_char 0 :string_from_char :string_drop 1 :string_indexof_char :string_occurencesof_char :string_parse_to_chars "abcdefghijklmnopqrstuvwxyz" :string_contains_char :string_iterate (:string_rest :integer_mult :boolean_not :string_contains "abcdefghijklmnopqrstuvwxyz" :in2 :string_parse_to_chars :string_length :string_eq :string_parse_to_chars :string_rest :exec_dup ())), :runtime (0.0018046159999999983 0.001861215999999999 0.001783332 0.0018536399999999986 0.0018064400000000005), :total-error 1, :amalgamated-error 1.009109244}
{:generation 69, :program (:integer_subtract "" :boolean_eq :string_butlast :string_nth :exec_dup (:integer_add :string_length 0 :in1 :boolean_eq :exec_dup (:string_occurencesof_char :string_contains_char 0 :string_contains :string_rest :boolean_and :in2 :string_reverse 0 :string_eq :boolean_and) :string_concat :string_take :string_length :boolean_or :string_eq :string_contains :string_parse_to_chars :string_parse_to_chars "abcdefghijklmnopqrstuvwxyz" :string_length "" :string_contains :integer_eq :string_rest :string_replace_char true :boolean_eq :string_occurencesof_char :in2 :string_parse_to_chars :string_length :string_eq) :string_parse_to_chars :string_from_char), :runtime (0.0030981159999999993 0.002232124000000001 0.0018103159999999995 0.0018019040000000007 0.0018372599999999994), :total-error 1, :amalgamated-error 1.01077972}
{:generation 70, :program (:integer_subtract :string_butlast false :integer_mult :string_butlast 2 :boolean_eq :integer_subtract :integer_subtract :in2 :exec_dup ("abcdefghijklmnopqrstuvwxyz" :string_contains :string_remove_char :boolean_and 2 :string_reverse 0 :string_eq :integer_mult :string_concat :string_take :string_length :string_eq :in1 :string_indexof_char :string_parse_to_chars "" :string_contains :string_drop :string_replace_char true :string_butlast :integer_quot :in2 :string_parse_to_chars :string_length :in2) :boolean_and :string_indexof_char :string_from_char :string_length :in2 :string_parse_to_chars :string_length :string_replace_char), :runtime (0.0022292519999999997 0.002942804000000001 0.0030201119999999993 0.003079792000000002 0.003013856000000001), :total-error 0, :amalgamated-error 0.014285816000000002}
{:generation 71, :program (:string_occurencesof_char "" :string_concat :boolean_and :string_remove_char :string_butlast :boolean_or :boolean_not :string_nth true :string_length :string_occurencesof_char true :exec_dup (:integer_eq :string_eq :exec_if (:string_length :string_from_char :string_replace_char 1 :integer_quot :string_iterate (:integer_eq :string_remove_char :string_contains :string_iterate (:string_concat :string_contains_char 1 :integer_eq false "" :boolean_eq :string_take true :boolean_or :integer_mult :string_eq "" 2 :boolean_not :string_contains :string_eq :string_from_char :string_contains :string_drop :string_length :integer_eq :in2 :string_parse_to_chars :in2 :string_eq :exec_dup (:string_eq)))) ())), :runtime (0.0017986879999999992 0.0017692760000000004 0.001776196000000001 0.001773016 0.001769912), :total-error 1, :amalgamated-error 1.008887088}
{:generation 72, :program (:boolean_eq :exec_dup ("" "abcdefghijklmnopqrstuvwxyz" :integer_subtract 2 :boolean_not :string_occurencesof_char :boolean_and :string_rest :in2 :boolean_or :integer_eq 2 :string_nth false :string_reverse :boolean_or :string_take :string_contains :string_rest :boolean_eq :string_take :boolean_and true :string_contains_char false true :string_concat :string_butlast :integer_mult :string_concat 2 :boolean_or :string_remove_char "abcdefghijklmnopqrstuvwxyz" :string_rest :string_length :boolean_eq true :in2 :string_parse_to_chars :string_reverse 0 :string_length) :string_eq :string_length :string_eq :string_contains_char :string_nth :string_nth :string_contains :string_from_char :string_concat), :runtime (0.0029851960000000003 0.0029339599999999993 0.02769083200000005 0.003030880000000002 0.0031417160000000006), :total-error 0, :amalgamated-error 0.03978258400000005}
{:generation 73, :program (0 :string_indexof_char :string_from_char :boolean_eq :string_nth :string_remove_char :integer_subtract :string_butlast "abcdefghijklmnopqrstuvwxyz" :string_parse_to_chars :string_concat :boolean_not :string_replace_char "" :string_rest :string_contains :boolean_not :string_remove_char :string_reverse :boolean_not :string_indexof_char :string_replace_char :boolean_eq :in1 1 :string_parse_to_chars :integer_mult 1 1 1 :exec_dup (:string_drop :in2 :string_nth :string_contains_char 2 true 1 :in2 :string_occurencesof_char :string_reverse :string_butlast :integer_add :in2 :string_concat :string_parse_to_chars :integer_quot :integer_subtract :string_eq :in2 :exec_dup (:string_from_char 2 :string_parse_to_chars :string_length :string_eq))), :runtime (0.003044995999999999 0.0030251640000000003 0.022010019999999988 0.0031104239999999997 0.0023821000000000016), :total-error 0, :amalgamated-error 0.033572703999999995}
