{:generation 0, :program (:string_occurencesof_char :integer_mult :string_reverse :string_from_char :string_parse_to_chars :string_length :string_replace_char :string_nth 1 :string_replace_char :string_rest :string_rest :exec_if (:string_butlast :boolean_or :string_contains_char :string_contains_char :string_remove_char :exec_dup (:integer_subtract "b" :string_butlast :string_indexof_char :integer_quot :string_occurencesof_char :in1 :string_drop :string_rest :string_nth :integer_mult 1 :string_reverse :string_occurencesof_char :string_iterate ("a" :string_take :integer_add "" :string_reverse :string_eq "b" :string_take :integer_eq :string_drop :string_concat :integer_subtract :string_indexof_char :boolean_or :integer_add) :string_reverse true :integer_mult 1 :string_drop true true :string_contains :boolean_not "b" :string_contains :string_concat :boolean_not :string_from_char :integer_add :string_from_char :boolean_eq :string_length :string_occurencesof_char :string_remove_char :string_butlast :string_butlast :boolean_and "abcdefghijklmnopqrstuvwxyz" :string_remove_char :integer_eq true :boolean_and :string_from_char :boolean_eq :string_nth "" :integer_quot "a" :string_contains_char :string_nth :string_replace_char :string_indexof_char "a" :string_nth)) ()), :runtime (0.003261468 0.0033213839999999967 0.003197548000000001 0.0032047200000000003 0.003187452000000001 0.0031833480000000008 0.003166432), :total-error 2, :amalgamated-error 2.022522352}
{:generation 36, :program (:in1 :in1 :string_iterate (:string_remove_char :boolean_or) :integer_subtract :string_take true :in1 :string_iterate (:integer_mult :integer_mult false :string_eq :string_indexof_char true 1 :string_indexof_char :integer_quot :string_drop :string_drop "b" :in1 :string_nth 0 :string_contains :string_indexof_char) :string_nth :string_nth :string_drop :boolean_and :exec_dup (:integer_eq :integer_eq false)), :runtime (0.003181312000000002 0.003273000000000003 0.002076471999999999 0.0032833799999999994 0.0032536879999999985 0.0031591360000000003 0.003173927999999999), :total-error 0, :amalgamated-error 0.021400916000000002}
{:generation 37, :program (:in1 :in1 :integer_eq :string_iterate (:string_remove_char :string_replace_char :boolean_not :string_reverse :boolean_or) :integer_subtract :integer_add :string_take true :boolean_eq :in1 :string_take :string_iterate (:integer_mult :integer_mult false :string_eq :string_indexof_char true 1 :integer_quot :string_drop "b" :in1 :string_nth 0) :string_nth :string_nth :string_concat :string_drop :boolean_and :exec_dup (:integer_eq :integer_eq false)), :runtime (0.0031608119999999994 0.0032248760000000007 0.0032724280000000004 0.0032209479999999995 0.003149352000000002 0.0032360400000000017 0.003239259999999999), :total-error 0, :amalgamated-error 0.022503716000000007}
{:generation 38, :program (:string_indexof_char :in1 :in1 :integer_eq :string_iterate (:string_remove_char :string_replace_char :boolean_not :string_reverse :boolean_or :string_concat) :integer_subtract :string_from_char :integer_add :string_take true :boolean_eq :in1 :string_take :string_iterate (:integer_mult :integer_mult false :string_eq :string_indexof_char true 1 :string_drop "b" :string_nth 0) :string_nth :string_nth :string_concat :string_drop :boolean_and :exec_dup (:integer_eq :integer_eq false)), :runtime (0.0023700280000000015 0.0032288120000000006 0.003281252 0.012593763999999995 0.0032207920000000005 0.002956499999999998 0.003234283999999997), :total-error 0, :amalgamated-error 0.030885431999999994}
{:generation 39, :program (:string_remove_char :in1 :in1 :in1 :integer_subtract 1 :exec_dup (:string_iterate (:string_contains true :string_replace_char :integer_eq :string_contains :string_indexof_char :integer_add :string_length :string_butlast :string_length "a" :integer_subtract :integer_mult :boolean_or :string_contains 0 :string_eq :string_take :string_contains :integer_subtract) :boolean_eq) :string_length :string_concat :string_drop :in1 "abcdefghijklmnopqrstuvwxyz" :string_contains :integer_add false :string_remove_char :boolean_eq "a" :string_rest :string_contains :integer_add false), :runtime (0.00322272 0.0019122839999999993 0.001925011999999999 0.0018806159999999999 0.0019311159999999994 0.0018892239999999997 0.0018339279999999992), :total-error 1, :amalgamated-error 1.0145949}
{:generation 40, :program (:in1 :string_length :in1 1 :string_iterate (:string_rest :string_indexof_char :boolean_not true :string_occurencesof_char :boolean_or "" :string_contains "" 0 "b" "" 0 0 :string_concat :integer_add :boolean_or :integer_subtract :string_contains :string_replace_char "a") :integer_mult :string_reverse :boolean_and :string_from_char :string_contains_char :string_drop :string_length false :string_contains_char "a" :string_nth :in1 :string_take :string_length :string_nth :string_length :string_drop :string_eq), :runtime (0.0032720160000000004 0.002855260000000001 0.0018221079999999992 0.0018339520000000009 0.0018108039999999996 0.0018389439999999982 0.0018405359999999987), :total-error 1, :amalgamated-error 1.01527362}
{:generation 41, :program (:in1 :string_take :string_iterate (:string_contains_char true 1 :string_from_char :boolean_or 0 :boolean_or "a" :string_remove_char :string_replace_char :string_nth :integer_subtract :string_concat :boolean_or :string_butlast :boolean_eq :string_parse_to_chars "" :integer_eq :string_reverse :string_length :string_drop :string_contains :string_butlast :string_length :boolean_eq) :string_occurencesof_char :string_contains "abcdefghijklmnopqrstuvwxyz" :boolean_and :string_reverse :in1 0 :string_contains_char :integer_add :integer_eq :exec_dup () :integer_add :exec_dup (:in1 :string_parse_to_chars :string_rest :string_contains :exec_dup (false :integer_add "b"))), :runtime (0.0019035839999999994 0.001843995999999999 0.0018925399999999994 0.0018888279999999986 0.0018227279999999994 0.00188258 0.001840768000000001), :total-error 1, :amalgamated-error 1.013075024}
{:generation 42, :program (:boolean_not :in1 :integer_quot :in1 "b" :in1 true :string_length :string_contains_char :boolean_and :boolean_or :string_reverse :in1 :string_iterate (:string_iterate ("" "a" "" :string_nth :integer_quot :string_contains 0 "b" :boolean_not :integer_subtract) :string_contains true :string_replace_char :string_parse_to_chars true :string_eq :string_length :string_take :string_butlast :boolean_or :string_contains_char :boolean_and :string_butlast :integer_add false :string_reverse :boolean_eq) :integer_mult :boolean_and false false :string_remove_char false "b" :exec_dup ()), :runtime (0.003202703999999998 0.0031770359999999985 0.0032278160000000014 0.003302127999999999 0.0018375879999999992 0.001910219999999999 0.0018403079999999993), :total-error 1, :amalgamated-error 1.0184978}
{:generation 43, :program (:in1 :in1 :boolean_or :string_iterate (true :string_contains :boolean_or :integer_eq :string_nth :boolean_or :string_concat :string_remove_char "abcdefghijklmnopqrstuvwxyz" :string_reverse :string_butlast :string_remove_char :string_take true :string_concat :boolean_or :integer_subtract :string_butlast "" :string_contains_char false :string_length) :string_contains :string_butlast "a" :string_contains :string_indexof_char "" false :string_contains :integer_eq "abcdefghijklmnopqrstuvwxyz" :string_length :boolean_eq false false :string_replace_char :string_iterate (:integer_add :exec_dup ())), :runtime (0.0019752359999999987 0.0032256319999999982 0.0032199640000000005 0.0032106120000000003 0.0018934720000000002 0.0018897919999999993 0.0018242600000000007), :total-error 1, :amalgamated-error 1.017238968}
{:generation 44, :program ("a" 1 "b" :in1 :in1 :string_iterate (:boolean_or :string_contains "a" :string_nth :exec_if (:string_remove_char :integer_quot true "" 0 :string_contains_char :string_occurencesof_char :string_concat false :boolean_or :integer_quot :string_drop "a" "abcdefghijklmnopqrstuvwxyz" :string_occurencesof_char :string_rest "b" :string_drop) (:string_contains_char :string_butlast :string_rest "abcdefghijklmnopqrstuvwxyz") false :string_contains :boolean_and false :string_from_char :integer_add :integer_quot :string_indexof_char :string_reverse)), :runtime (0.0027384040000000007 0.0018121720000000006 0.0023340759999999987 0.0032094399999999996 0.0032073600000000002 0.003211812 0.0031308560000000004), :total-error 0, :amalgamated-error 0.01964412}
{:generation 45, :program ("a" :string_rest 1 "b" :in1 :in1 :string_iterate (:boolean_or :string_contains :string_rest "a" :exec_if (:string_remove_char :integer_quot "" 0 :string_contains_char :string_occurencesof_char false false :integer_quot :string_drop "a" "abcdefghijklmnopqrstuvwxyz" :string_occurencesof_char "b" :string_drop) (:string_contains_char :string_butlast :string_rest "abcdefghijklmnopqrstuvwxyz") false :string_contains :boolean_and false :string_from_char :integer_quot :string_reverse)), :runtime (0.0031844680000000006 0.003154912000000001 0.0031774639999999996 0.0018846959999999993 0.0032143959999999974 0.002890036000000001 0.001830468), :total-error 0, :amalgamated-error 0.019336440000000003}
{:generation 46, :program (1 "b" :in1 :in1 :string_iterate (:integer_subtract :string_from_char :string_indexof_char :boolean_or :string_concat :string_contains :string_remove_char :integer_add :string_remove_char "" 0 :string_contains_char "a" :string_rest :string_reverse :string_nth true :string_occurencesof_char :boolean_and :boolean_eq :in1 "b" :string_drop) :string_contains_char 0 :string_butlast "abcdefghijklmnopqrstuvwxyz" :integer_add false :string_length :boolean_and :integer_subtract false :string_indexof_char :integer_add "abcdefghijklmnopqrstuvwxyz"), :runtime (0.0031493080000000004 0.003201784000000001 0.0032225520000000022 0.0032333759999999996 0.008577708000000003 0.0032610560000000013 0.0031181759999999985), :total-error 0, :amalgamated-error 0.027763960000000004}
{:generation 47, :program ("a" :string_rest "b" :in1 :in1 :string_iterate (:boolean_or :string_contains :string_rest :exec_if (:string_remove_char :integer_quot "" 0 :string_contains_char :string_occurencesof_char false false :integer_quot :string_drop "a" :integer_eq "abcdefghijklmnopqrstuvwxyz" :string_occurencesof_char true "b" :string_drop) (:string_contains_char :string_indexof_char :string_butlast "abcdefghijklmnopqrstuvwxyz") false :string_contains "a" :boolean_and false :boolean_or :string_from_char :integer_quot :string_reverse)), :runtime (0.0032508759999999998 0.0032211600000000007 0.0032407640000000006 0.031233776000000005 0.0032870800000000017 0.0032498320000000002 0.0033489400000000025), :total-error 0, :amalgamated-error 0.05083242800000001}
{:generation 48, :program (:integer_add :string_contains_char :in1 :in1 :string_iterate (:string_nth :in1 :string_take true :string_rest :string_remove_char :string_contains :boolean_and :string_replace_char :string_nth :string_contains_char :string_butlast :string_remove_char :string_butlast "" :string_replace_char :string_butlast :boolean_eq :string_from_char :string_concat :string_contains_char :string_contains_char "b" :integer_mult :string_remove_char :boolean_and) :string_drop :string_from_char 1 :string_contains_char :string_nth "abcdefghijklmnopqrstuvwxyz" :integer_quot :string_occurencesof_char :in1 :exec_dup (:string_length false :string_contains :in1)), :runtime (0.0031870799999999993 0.003168779999999997 0.0031759080000000016 0.003256168000000002 0.0032220679999999985 0.0032006760000000004 0.0031991680000000005), :total-error 0, :amalgamated-error 0.022409847999999996}
{:generation 49, :program (:in1 :boolean_eq :string_butlast :string_iterate (:string_concat :boolean_or true :integer_subtract :string_remove_char "a" :string_contains :string_nth :string_contains :in1 :integer_mult :exec_if (true :boolean_or :integer_mult :string_occurencesof_char :string_length :string_butlast true "abcdefghijklmnopqrstuvwxyz" :string_contains_char :boolean_or true) (:string_nth :string_drop :string_contains) :string_nth false :integer_eq :in1 :string_contains :string_reverse :boolean_and :string_indexof_char) :string_eq false :string_reverse :string_eq false :integer_eq :integer_add "" false), :runtime (0.0031233799999999985 0.00317424 0.0031799920000000004 0.0031742560000000007 0.0031758279999999977 0.0031473880000000005 0.0032263480000000004), :total-error 0, :amalgamated-error 0.022201432}
{:generation 50, :program (:string_contains 1 :in1 :boolean_or :in1 :string_iterate (true :string_reverse :boolean_or 1 :string_drop :string_contains "" :string_replace_char "" true "" "b" :integer_subtract :in1 :integer_mult :boolean_and :string_take :string_contains :string_indexof_char "a" :boolean_not :string_replace_char true :in1 :integer_mult :boolean_eq :string_remove_char :integer_eq :string_from_char) :string_nth :string_concat :boolean_or :integer_subtract :string_length :string_remove_char false :integer_add true 0 :string_nth 1 :boolean_not :string_iterate (:string_parse_to_chars)), :runtime (0.0031581439999999994 0.0032016559999999998 0.003160567999999999 0.0031696639999999996 0.0031938600000000015 0.003184083999999999 0.003185379999999999), :total-error 0, :amalgamated-error 0.022253355999999995}
{:generation 51, :program (:integer_add :in1 :string_iterate (:in1 :in1 :boolean_or :string_concat true :integer_eq "" :string_reverse :string_nth :string_nth "" :string_indexof_char :integer_subtract :string_eq :integer_subtract :string_nth :string_rest :string_contains_char 0 :integer_quot :integer_add "" :integer_quot :boolean_eq true :string_remove_char :string_nth :string_butlast) :string_indexof_char :boolean_eq 1 :string_concat :string_from_char :integer_quot :string_remove_char false false false false false), :runtime (0.003099688 0.003243308 0.003223080000000002 0.0018362440000000003 0.001889635999999998 0.0018298639999999996 0.001905356), :total-error 1, :amalgamated-error 1.017027176}
{:generation 52, :program (:string_occurencesof_char :in1 "b" :string_replace_char :string_iterate (:in1 :in1 :string_iterate (:in1 :integer_mult "a" 0 :boolean_and true :string_nth :integer_quot :string_take :string_parse_to_chars :string_from_char :string_occurencesof_char :string_nth "abcdefghijklmnopqrstuvwxyz" true :boolean_and 1 :integer_mult :string_length :string_contains_char :string_occurencesof_char :integer_eq :boolean_eq) :boolean_or) :string_remove_char :string_contains_char :string_occurencesof_char :string_butlast :string_nth :boolean_or :string_eq :boolean_and false), :runtime (0.0031215560000000006 0.0031544399999999992 0.003203820000000001 0.003218595999999999 0.08989782799999997 0.0031276399999999984 0.0032534719999999994), :total-error 0, :amalgamated-error 0.10897735199999997}
{:generation 53, :program (:in1 :string_contains_char :in1 :string_remove_char :string_butlast true :string_contains_char :string_occurencesof_char :string_iterate (true :boolean_and :string_iterate (:string_reverse :string_reverse :string_contains_char false true :string_reverse) :boolean_or :boolean_or :string_remove_char :string_length :string_rest :string_contains :string_contains :string_occurencesof_char :integer_quot :boolean_eq :string_contains_char :string_drop :string_drop :string_from_char :string_contains) :string_remove_char :string_drop :boolean_not :string_remove_char false :integer_add :string_remove_char :boolean_eq :string_parse_to_chars "abcdefghijklmnopqrstuvwxyz" :integer_eq :boolean_not :string_eq :string_length :string_parse_to_chars), :runtime (0.0030832840000000004 0.0031718079999999986 0.003181523999999998 0.06884544800000005 0.003168944000000001 0.003256747999999999 0.0031851360000000003), :total-error 0, :amalgamated-error 0.08789289200000006}
{:generation 54, :program (:in1 true :boolean_eq :string_butlast :string_iterate (:string_nth :boolean_or :string_parse_to_chars :string_parse_to_chars :integer_subtract "b" :integer_subtract "" :string_remove_char :string_take :string_drop :exec_dup (1 :string_indexof_char :string_parse_to_chars true 1 :boolean_not :in1 :string_contains) "b") :string_drop :string_remove_char false :string_eq :string_from_char :integer_mult :string_eq :string_indexof_char :string_nth :string_from_char :string_length false true :string_replace_char :boolean_eq "abcdefghijklmnopqrstuvwxyz" :string_nth :string_length :string_parse_to_chars :exec_dup (false)), :runtime (0.0031723599999999978 0.003229040000000001 0.06401390000000001 0.00319894 0.003213267999999999 0.0018451119999999994 0.003150895999999997), :total-error 0, :amalgamated-error 0.08182351600000001}
{:generation 55, :program (:in1 true :exec_if (:boolean_eq :string_butlast :string_iterate (:string_nth :boolean_or :string_parse_to_chars :string_parse_to_chars :integer_subtract "b" :integer_subtract "" :integer_add :string_remove_char :string_take :string_drop :exec_dup (1 :string_indexof_char) :string_parse_to_chars true :string_length :boolean_not :in1 :string_contains) "b") (:string_drop :string_contains) :string_remove_char false :string_eq :string_from_char :string_eq :string_indexof_char :string_nth :string_from_char :string_length false true :integer_mult :string_replace_char :boolean_eq "abcdefghijklmnopqrstuvwxyz" :string_nth :string_length :boolean_and :string_parse_to_chars :exec_dup (false)), :runtime (0.0033293600000000004 0.0031995480000000017 0.0032086920000000013 0.003220471999999999 0.003256696000000002 0.06773120400000004 0.0032278359999999983), :total-error 0, :amalgamated-error 0.08717380800000005}
{:generation 56, :program (:in1 :string_drop true :boolean_eq :string_iterate (:string_contains_char "b" :string_parse_to_chars :string_parse_to_chars "" true :string_concat :string_take "b" :integer_quot :string_drop :string_length :boolean_eq :integer_add true :string_take :string_indexof_char true 1 :in1 :string_contains :in1 :string_contains) :string_from_char :string_drop :string_remove_char :integer_subtract false :in1 :integer_mult :string_eq :string_nth :string_contains :string_butlast 0 :boolean_eq false :integer_eq), :runtime (0.0031654199999999995 0.0031884560000000005 0.003154884 0.0031959559999999985 0.0031249080000000005 0.0032432719999999997 0.003149648), :total-error 0, :amalgamated-error 0.022222543999999997}
{:generation 57, :program (:in1 :string_drop true :boolean_eq :string_iterate (:string_contains_char "b" :string_parse_to_chars :string_parse_to_chars "" true :integer_mult :string_concat :string_take "b" :integer_quot :string_drop :string_length :boolean_eq :integer_add true :string_concat :string_take :string_indexof_char true 1 :in1 :string_contains :string_contains) :string_from_char :integer_subtract false :in1 :integer_mult :string_eq :string_nth :string_contains :string_butlast 0 :boolean_eq false :integer_eq), :runtime (0.0031128439999999983 0.00323946 0.0032173559999999998 0.003159623999999998 0.0031047679999999995 0.003291512 0.0032819680000000014), :total-error 0, :amalgamated-error 0.022407531999999994}
{:generation 58, :program (:in1 :exec_if (:boolean_eq :string_butlast :string_iterate (:string_parse_to_chars :string_parse_to_chars "b" :integer_subtract "" :integer_add :string_take :string_drop :exec_dup (:boolean_not 1 :string_indexof_char) :string_parse_to_chars :string_length :boolean_not :in1 :string_contains :string_drop :string_contains) :string_remove_char false :string_indexof_char :string_eq :string_replace_char :string_from_char :string_indexof_char :string_nth :string_from_char :string_eq "" false :string_replace_char :boolean_eq "abcdefghijklmnopqrstuvwxyz" :string_length :string_eq :boolean_and :exec_dup (:exec_dup (false))) ()), :runtime (0.003177644 0.003184323999999999 0.0031878520000000027 0.003159207999999998 0.01114681999999999 0.0031757999999999977 0.0031823440000000006), :total-error 0, :amalgamated-error 0.03021399199999999}
{:generation 59, :program (:integer_mult :string_parse_to_chars false :string_indexof_char :string_occurencesof_char :in1 :string_contains :integer_subtract :string_iterate (false :boolean_or :string_butlast :integer_eq :string_contains_char :string_contains "a" "b" :string_length :string_occurencesof_char :string_concat :string_indexof_char :string_take :string_butlast "b" :exec_if (:string_parse_to_chars :string_indexof_char :in1 :string_remove_char "b" :string_butlast true :string_contains_char :string_contains_char) (:string_length :integer_add "abcdefghijklmnopqrstuvwxyz" true true :integer_add) 1 :string_indexof_char) :string_nth :string_contains_char false false false false), :runtime (0.003211699999999999 0.003197511999999999 0.003203027999999999 0.003224912000000001 0.0031836120000000015 0.009740431999999993 0.0031956400000000005), :total-error 0, :amalgamated-error 0.028956835999999993}
{:generation 60, :program (:string_rest true :string_replace_char :boolean_not :in1 :string_iterate (:string_reverse :boolean_or :boolean_or "abcdefghijklmnopqrstuvwxyz" :string_drop 0 "a" :string_take :string_parse_to_chars :in1 true :string_indexof_char :string_drop :string_eq true :string_nth :string_length 1 :string_remove_char :string_parse_to_chars :string_parse_to_chars :string_contains :string_remove_char "b" :in1) :string_remove_char 1 :exec_dup (:string_contains_char :string_from_char :string_contains "abcdefghijklmnopqrstuvwxyz" :string_indexof_char :string_contains 0 :string_occurencesof_char false false false)), :runtime (0.0018373559999999985 0.0018913919999999998 0.0018723519999999992 0.001966088 0.0018872839999999997 0.0018330840000000004 0.001877291999999999), :total-error 1, :amalgamated-error 1.013164848}
{:generation 61, :program (:integer_add :in1 :string_contains_char true :string_iterate (:boolean_or "b" :string_iterate (:string_contains_char :boolean_eq) :string_from_char :string_concat :integer_quot :string_reverse :string_eq :string_rest :string_occurencesof_char :boolean_or "" :string_indexof_char :integer_add :in1 :string_remove_char :string_indexof_char :string_parse_to_chars true :string_concat :string_contains_char :string_from_char :string_remove_char :string_parse_to_chars :in1 :integer_add) :string_reverse "" :string_butlast :integer_add "a" false :integer_quot false :boolean_and :integer_add), :runtime (0.0032159040000000016 0.003220572 0.003183507999999999 0.0031607439999999988 0.003217931999999999 0.0018843999999999985 0.0018349360000000003), :total-error 0, :amalgamated-error 0.019717995999999995}
{:generation 62, :program (:in1 :in1 :string_contains_char true :string_iterate (true "b" :string_iterate (:string_contains :boolean_eq) :string_nth :string_concat 0 :string_indexof_char :integer_mult :string_rest "b" :integer_mult "" :string_indexof_char :string_rest :boolean_and :string_length :string_indexof_char "b") :string_concat :boolean_and :string_from_char :integer_add :string_length :string_remove_char :integer_add :string_contains "" :string_butlast :integer_add :integer_eq false :string_occurencesof_char :integer_quot false true false ""), :runtime (0.0031436160000000023 0.003140943999999998 0.003093844000000002 0.003201195999999999 0.0031528520000000007 0.003098840000000003 0.003114387999999998), :total-error 0, :amalgamated-error 0.021945680000000002}
{:generation 63, :program (:in1 :in1 :in1 true :string_indexof_char :string_iterate (true :string_drop :string_from_char "" "a" :integer_quot :string_contains_char :string_replace_char :string_rest :integer_subtract :string_drop :string_reverse :string_take "b" "b" :string_occurencesof_char :string_parse_to_chars :in1 true :string_contains 1 :string_contains_char :integer_mult :string_from_char) true :string_contains "abcdefghijklmnopqrstuvwxyz" :string_occurencesof_char :integer_eq :boolean_or :in1 false false :string_butlast :string_parse_to_chars false :string_remove_char false :string_nth :string_butlast false), :runtime (0.0031836359999999997 0.003182735999999999 0.003128152000000001 0.0032081200000000005 0.0032169639999999997 0.0032302639999999974 0.0032148559999999994), :total-error 0, :amalgamated-error 0.022364727999999993}
{:generation 64, :program (:in1 :in1 :in1 true :string_indexof_char :string_iterate (true :string_drop :string_from_char "" "a" :integer_quot :string_contains_char :string_replace_char :string_rest :integer_subtract :string_drop :string_reverse :string_take "b" "b" :string_occurencesof_char :string_parse_to_chars :in1 true :string_contains 1 :string_contains_char :integer_mult :string_from_char) true :string_contains "abcdefghijklmnopqrstuvwxyz" :string_occurencesof_char :integer_eq :boolean_or :in1 false false :string_butlast :string_parse_to_chars false :string_remove_char false :string_nth :string_butlast false), :runtime (0.0032107520000000007 0.0031188880000000006 0.003252336 0.003229431999999999 0.003180703999999999 0.0032354920000000013 0.003195792000000001), :total-error 0, :amalgamated-error 0.022423396000000005}
{:generation 65, :program (:in1 :in1 :in1 true :string_indexof_char :string_iterate (true :string_drop :string_from_char "" "a" :integer_quot :string_contains_char :string_replace_char :string_rest :integer_subtract :string_drop :string_reverse :string_take "b" "b" :string_occurencesof_char :string_parse_to_chars :in1 true :string_contains 1 :string_contains_char :integer_mult :string_from_char) true :string_contains "abcdefghijklmnopqrstuvwxyz" :string_occurencesof_char :integer_eq :boolean_or :in1 false false :string_butlast :string_parse_to_chars false :string_remove_char false :string_nth :string_butlast false), :runtime (0.0032064839999999986 0.003202952 0.003117139999999998 0.003171816000000001 0.009933011999999996 0.0031865319999999997 0.00312874), :total-error 0, :amalgamated-error 0.028946675999999994}
{:generation 66, :program (:string_nth :in1 :in1 :in1 true :string_length :string_iterate (:string_parse_to_chars 1 :string_from_char "" true true :string_replace_char :in1 :string_rest :integer_subtract :string_drop true :string_length :string_take "b" "b" :string_occurencesof_char :string_length :string_concat :in1 true :string_contains) true :string_remove_char true :string_eq "abcdefghijklmnopqrstuvwxyz" :integer_add :string_contains :integer_add :in1 false :string_butlast "b" false :string_remove_char false), :runtime (0.0031160720000000005 0.003175587999999999 0.0018294760000000002 0.003224112 0.0019115840000000011 0.0018876559999999986 0.0018320679999999998), :total-error 0, :amalgamated-error 0.016976555999999997}
{:generation 67, :program (:in1 :in1 :string_iterate (:boolean_eq :in1 :string_contains :string_occurencesof_char 1 :string_contains_char :string_parse_to_chars 1 :string_concat :string_butlast :boolean_or :boolean_eq :string_from_char true :boolean_eq :string_replace_char "b" :integer_subtract :string_replace_char) :string_length :string_indexof_char :string_concat :string_drop :string_contains :string_nth :string_nth :boolean_eq :string_reverse :string_occurencesof_char :string_rest :string_drop :exec_dup (:string_parse_to_chars true :string_drop :integer_subtract :string_from_char "b" "" :string_contains_char false "a" :string_replace_char false "")), :runtime (0.0032101879999999984 0.003253564000000002 0.003252788000000001 0.003256132000000002 0.051599811999999995 0.003205816 0.0032087680000000016), :total-error 0, :amalgamated-error 0.070987068}
{:generation 68, :program (:in1 :in1 :in1 :string_iterate (0 "b" :boolean_or :in1 :string_rest :integer_quot :string_contains :integer_mult :in1 :string_eq :string_reverse :string_reverse :string_concat true :string_indexof_char :string_remove_char "" :string_butlast :integer_add :string_remove_char :boolean_eq) :string_rest :string_eq :string_butlast :string_take :string_nth :string_remove_char "" :integer_add :string_drop :exec_dup (:string_reverse :string_contains_char :integer_add :boolean_and :string_contains 0 :string_rest)), :runtime (0.003251816000000001 0.003220632000000001 0.003236827999999998 0.0032191039999999995 0.003242436 0.003224644 0.0033347080000000005), :total-error 0, :amalgamated-error 0.022730168000000002}
{:generation 69, :program (:string_replace_char :boolean_not :string_nth :in1 :string_iterate (:string_nth "b" :in1 :string_eq :in1 :string_indexof_char :integer_eq :string_contains_char :string_from_char :string_length :integer_subtract :integer_quot :in1 :string_occurencesof_char :integer_quot :integer_quot :string_indexof_char :integer_add 1 "b") :integer_eq :string_contains :string_length :string_parse_to_chars :integer_add :integer_add :integer_eq :string_contains "abcdefghijklmnopqrstuvwxyz" "" :in1 :string_remove_char :string_contains "" false false :string_indexof_char "a" :in1 :string_occurencesof_char :string_take false), :runtime (0.003143892000000001 0.0032588639999999993 0.0031980999999999984 0.0031225520000000007 0.003178160000000002 0.002628628000000001 0.003208820000000001), :total-error 0, :amalgamated-error 0.021739016000000003}
{:generation 70, :program (:string_from_char :in1 :in1 true :string_replace_char :string_iterate (:boolean_or :string_reverse :string_drop false "a" true :string_contains :string_contains :string_concat :string_butlast :in1 :string_take :string_length :string_parse_to_chars :string_reverse "b" true true :in1 true :string_occurencesof_char :in1 "" :string_remove_char) :string_take 0 "a" :string_butlast :integer_add true :string_from_char :string_contains :string_parse_to_chars "" :string_eq false :string_remove_char "b" :integer_eq false :string_concat :integer_mult), :runtime (0.0031481320000000036 0.0032031160000000015 0.0031732199999999983 0.0030897919999999996 0.00314536 0.0031733560000000004 0.0032241959999999973), :total-error 0, :amalgamated-error 0.022157172000000003}
{:generation 71, :program (:in1 :string_iterate (:in1 :string_contains :integer_eq :string_from_char :string_take :string_rest true :string_butlast :string_concat "b" :boolean_and 0 "b" :string_remove_char :string_from_char :boolean_or "b" :string_contains_char "b" :string_take :integer_subtract true true :string_indexof_char :string_remove_char :string_contains :string_replace_char :string_reverse) :string_length false :integer_eq :integer_quot true :integer_eq :string_rest "" :string_parse_to_chars false :string_nth :string_replace_char :integer_eq :integer_add :string_replace_char), :runtime (0.0031921399999999983 0.003259831999999999 0.002108400000000003 0.0031524920000000037 0.003162896 0.003201320000000002 0.0031010720000000007), :total-error 0, :amalgamated-error 0.021178152000000006}
{:generation 72, :program (:in1 :in1 :integer_mult true :boolean_eq :string_iterate (:string_nth 0 true :string_eq :string_reverse :string_rest :in1 :string_contains_char :string_from_char :string_length :integer_subtract :string_eq :string_take "abcdefghijklmnopqrstuvwxyz" :integer_quot :string_indexof_char :integer_add :string_length "b" :string_contains :string_eq :string_eq 1 :string_contains :boolean_or :string_indexof_char) :string_eq :boolean_or :string_occurencesof_char :string_remove_char :string_reverse :string_parse_to_chars :in1 :string_contains :string_occurencesof_char :boolean_or "a" "b" false :integer_eq :string_take false :boolean_and), :runtime (0.003124348 0.003214904000000003 0.00325054 0.0032077199999999994 0.003230231999999999 0.003203951999999998 0.003241364000000002), :total-error 0, :amalgamated-error 0.022473060000000003}
{:generation 73, :program (0 :string_nth true :string_occurencesof_char :integer_subtract :in1 true 0 :string_iterate (:string_contains "" :string_remove_char :string_reverse :string_contains :boolean_or "b" :integer_subtract :string_occurencesof_char :boolean_eq :string_rest :string_length "b" "b" :boolean_eq :string_contains_char :string_reverse :integer_quot :string_indexof_char :in1 :string_reverse :string_contains :string_replace_char) :string_length :string_contains_char true :string_parse_to_chars :string_eq "abcdefghijklmnopqrstuvwxyz" :boolean_not "b" :string_occurencesof_char "" :string_from_char :exec_dup (:boolean_not false :integer_add :string_occurencesof_char :in1 :string_nth :integer_eq false :string_remove_char)), :runtime (0.0031468399999999993 0.0032294599999999987 0.0032174160000000003 0.003264127999999998 0.003202559999999999 0.003181664 0.0018486280000000004), :total-error 0, :amalgamated-error 0.021090696}
{:generation 74, :program (:in1 :in1 :string_iterate (:string_contains :boolean_or "b" :string_reverse :string_nth :integer_mult :boolean_or :string_contains :in1 :string_occurencesof_char :boolean_or :string_reverse :string_length :string_drop true :string_contains_char :integer_add "b" :integer_subtract :in1 :boolean_eq :string_contains :string_nth :string_replace_char :string_concat) :string_rest :string_length :string_contains :string_drop :boolean_or :string_eq :string_butlast false :string_nth false), :runtime (0.0019074759999999982 0.0018879679999999999 0.0018382519999999992 0.0018393200000000006 0.0018785359999999997 0.0018305080000000004 0.001820291999999999), :total-error 0, :amalgamated-error 0.013002351999999997}
